epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0155,2.7505,4.49937,0.01293,0.03566,0.05726,0.0063,0.00353,2.89474,4.38505,0.02411,5.454e-05,5.454e-05,5.454e-05
2,30.4014,2.55269,4.41964,0.01251,0.10032,0.06167,0.00913,0.0055,2.72871,4.39106,0.02104,0.000112321,0.000112321,0.000112321
3,38.0897,2.53663,4.36498,0.01211,0.06714,0.05387,0.01162,0.00771,2.64731,4.41027,0.01964,0.000163802,0.000163802,0.000163802
4,45.4161,2.3605,4.31553,0.0119,0.05516,0.06657,0.01329,0.00917,2.62249,4.42316,0.01937,0.000208984,0.000208984,0.000208984
5,52.6748,2.28792,4.21008,0.01213,0.04859,0.10666,0.021,0.01431,2.57636,4.42845,0.01854,0.000247866,0.000247866,0.000247866
6,60.2728,2.35286,4.14769,0.01138,0.0265,0.11861,0.02261,0.01555,2.4679,4.4165,0.01737,0.000280449,0.000280449,0.000280449
7,67.6376,2.34075,4.11594,0.01157,0.02127,0.12235,0.02001,0.01343,2.4559,4.4097,0.0173,0.000306733,0.000306733,0.000306733
8,75.1317,2.43286,4.00792,0.01098,0.01456,0.13554,0.02258,0.01606,2.36165,4.39205,0.01608,0.000326717,0.000326717,0.000326717
9,82.5084,2.28162,3.91023,0.01005,0.0126,0.13672,0.02221,0.01551,2.35953,4.37632,0.01634,0.000340402,0.000340402,0.000340402
10,90.7302,2.23016,3.86151,0.01119,0.01232,0.14837,0.02675,0.01812,2.33488,4.36233,0.01579,0.000347788,0.000347788,0.000347788
11,98.126,2.30206,3.98184,0.01244,0.01296,0.18036,0.04386,0.02567,2.27225,4.22959,0.01515,0.000348874,0.000348874,0.000348874
12,105.33,2.3687,3.96222,0.01188,0.01427,0.19583,0.04567,0.02605,2.28743,4.12949,0.01566,0.000343661,0.000343661,0.000343661
13,111.898,2.33028,3.98205,0.01181,0.01406,0.20004,0.04806,0.02738,2.29516,4.01387,0.01569,0.000332149,0.000332149,0.000332149
14,118.779,2.36904,3.86129,0.01176,0.01406,0.20004,0.04806,0.02738,2.29516,4.01387,0.01569,0.000314337,0.000314337,0.000314337
15,125.211,2.37101,3.85058,0.01179,0.0135,0.1968,0.04972,0.02829,2.28549,3.9054,0.01517,0.000279063,0.000279063,0.000279063
16,131.876,2.29962,3.76504,0.01112,0.67895,0.04147,0.05136,0.02893,2.26558,3.8224,0.01504,0.000234068,0.000234068,0.000234068
17,138.434,2.39493,3.80736,0.01057,0.71763,0.03497,0.04901,0.02812,2.25859,3.74283,0.01502,0.000189072,0.000189072,0.000189072
18,145.016,2.26095,3.68737,0.01088,0.69169,0.03947,0.04982,0.02848,2.2972,3.68754,0.0155,0.000144077,0.000144077,0.000144077
19,151.751,2.29756,3.7412,0.01147,0.69706,0.05031,0.05142,0.02924,2.30111,3.65578,0.01529,9.9081e-05,9.9081e-05,9.9081e-05
20,158.529,2.30568,3.63639,0.01091,0.67901,0.05331,0.05105,0.02912,2.30613,3.62569,0.01522,5.40855e-05,5.40855e-05,5.40855e-05
